Player,Nation,Pos,MP,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
Andreas Pereira,br BRA,MF,4,204,0,0,0,0,2,0
Jonny Evans,nir NIR,DF,8,519,0,0,0,0,0,1
Bryan Mbeumo,cm CMR,FW/MF,2,160,1,0,0,0,0,0
Anthony Elanga,se SWE,FW/MF,1,63,0,0,0,0,0,0
Nani,pt POR,FW/MF,7,480,1,1,0,,0,0
Christian Eriksen,dk DEN,MF,4,307,0,1,0,0,1,0
Luke Chadwick,eng ENG,MF,1,60,0,0,0,,0,0
Darron Gibson,ie IRL,MF,1,58,0,0,0,,0,0
Phil Neville,eng ENG,DF/MF,9,689,0,0,0,,1,0
Patrice Evra,fr FRA,DF,14,1192,0,2,0,,3,0
Mason Greenwood,eng ENG,FW/MF,6,298,0,1,0,0,0,0
Tyrell Malacia,nl NED,DF,2,134,0,0,0,0,1,0
Liam Miller,ie IRL,MF,1,45,0,0,0,,0,0
Paul Scholes,eng ENG,MF,21,1646,5,1,0,,4,0
Adnan Januzaj,be BEL,FW/MF,1,42,0,0,0,0,0,0
Paddy McNair,nir NIR,DF/MF,1,35,0,0,0,0,0,0
Facundo Pellistri,uy URU,FW/MF,1,33,0,0,0,0,0,0
Danny Welbeck,eng ENG,FW/MF,6,371,0,0,0,,2,0
Toby Collyer,eng ENG,MF,1,32,0,0,0,0,0,0
Chris Eagles,eng ENG,MF,1,31,0,0,0,,0,0
Diego Forlán,uy URU,FW/MF,2,43,0,0,0,,0,0
Alejandro Garnacho,ar ARG,MF,7,358,2,1,0,0,0,0
John O'Shea,ie IRL,DF/MF,15,759,0,0,0,,1,0
Antonio Valencia,ec ECU,DF/MF,16,1068,0,0,0,0,3,0
Angel Gomes,eng ENG,FW/MF,1,27,0,0,0,0,0,0
Willy Kambwala,fr FRA,DF,1,22,0,0,0,0,0,0
Mikaël Silvestre,fr FRA,DF,8,652,0,0,0,,0,0
Bastian Schweinsteiger,de GER,DF/MF,2,95,0,0,0,0,0,0
Matheus Cunha,br BRA,FW/MF,1,20,0,1,0,0,0,0
Fraizer Campbell,eng ENG,FW,1,18,0,0,0,,0,0
Owen Hargreaves,eng ENG,MF,2,108,0,0,0,,0,0
Sergio Reguilón,es ESP,DF/MF,1,18,0,0,0,0,0,0
Rasmus Højlund,dk DEN,FW,4,236,0,0,0,0,1,0
Marcos Rojo,ar ARG,DF,6,358,0,0,0,0,1,0
Cristiano Ronaldo,pt POR,FW/MF,11,784,3,1,1,0,3,2
Javier Hernández,mx MEX,FW,4,60,0,1,0,,0,0
Michael Owen,eng ENG,FW,1,13,1,0,0,,0,0
Wout Weghorst,nl NED,FW,1,13,0,0,0,0,0,0
Joshua Zirkzee,nl NED,FW,3,44,0,0,0,0,0,0
Leny Yoro,fr FRA,DF,3,163,0,0,0,0,1,0
Gabriel Obertan,fr FRA,FW/MF,1,11,0,0,0,,0,0
Ángel Di María,ar ARG,FW/MF,2,100,0,0,0,0,0,0
Sofyan Amrabat,ma MAR,DF/MF,3,144,0,0,0,0,1,0
Omari Forson,eng ENG,MF,1,9,0,0,0,0,0,0
David May,eng ENG,DF,2,26,0,0,0,,0,0
James Wilson,eng ENG,FW/MF,1,9,0,0,0,0,0,0
Radamel Falcao,co COL,FW,1,8,0,0,0,0,0,0
Ashley Young,eng ENG,DF/FW,12,781,1,2,0,0,1,0
Timothy Fosu-Mensah,nl NED,DF,2,12,0,0,0,0,0,0
Scott McTominay,sct SCO,MF,15,912,1,0,0,0,1,0
Kieran Richardson,eng ENG,DF/MF,2,9,0,0,0,,0,0
Donny van de Beek,nl NED,MF,2,14,0,0,0,0,0,0
Odion Ighalo,ng NGA,FW,1,3,0,0,0,0,0,0
Axel Tuanzebe,cd COD,DF,1,2,0,0,0,0,0,0
Ayden Heaven,eng ENG,DF,1,1,0,0,0,0,0,0
Shinji Kagawa,jp JPN,FW/MF,2,47,0,0,0,,0,0
Victor Lindelöf,se SWE,DF,20,1366,0,0,0,0,0,0
Mason Mount,eng ENG,MF,6,137,0,0,0,0,1,0
