scope,team,as_of_date,form_last_5,points_last_5,match_order_recent_first,match_id,date,competition,venue,opponent,goals_for,goals_against,result,score_raw
Manchester derby matches only,Manchester City,2026-01-17,LWDLD,5,1,2026-01-17_manchester-utd_vs_manchester-city,2026-01-17,Premier League,Away,Manchester United,0,2,L,2–0
Manchester derby matches only,Manchester City,2026-01-17,LWDLD,5,2,2025-09-14_manchester-city_vs_manchester-utd,2025-09-14,Premier League,Home,Manchester United,3,0,W,3–0
Manchester derby matches only,Manchester City,2026-01-17,LWDLD,5,3,2025-04-06_manchester-utd_vs_manchester-city,2025-04-06,Premier League,Away,Manchester United,0,0,D,0–0
Manchester derby matches only,Manchester City,2026-01-17,LWDLD,5,4,2024-12-15_manchester-city_vs_manchester-utd,2024-12-15,Premier League,Home,Manchester United,1,2,L,1–2
Manchester derby matches only,Manchester City,2026-01-17,LWDLD,5,5,2024-08-10_manchester-city_vs_manchester-utd,2024-08-10,FA Community Shield,Home,Manchester United,1,1,D,(7) 1–1 (6)
