player name,Season,Age,Squad,Country,Comp,Domestic Leagues MP,Domestic Leagues Min,Domestic Leagues Gls,Domestic Leagues Ast,Domestic Cups MP,Domestic Cups Min,Domestic Cups Gls,Domestic Cups Ast,International Cups MP,International Cups Min,International Cups Gls,International Cups Ast,All Competitions MP,All Competitions Min,All Competitions Gls,All Competitions Ast,Matches
Erling Haaland,2022-2023,22,Manchester City,eng ENG,1. Premier League,35,"2,769",36,8,7,506,4,0,11,841,12,1,53,"4,116",52,9,Matches
Erling Haaland,2023-2024,23,Manchester City,eng ENG,1. Premier League,31,"2,552",27,5,4,315,5,0,10,866,6,1,45,"3,733",38,6,Matches
Erling Haaland,2024-2025,24,Manchester City,eng ENG,1. Premier League,31,"2,736",22,3,4,272,1,1,9,769,8,0,44,"3,777",31,4,Matches
Erling Haaland,2025,24,Manchester City,,,,,,,,,,,,4,256,3,1,4,256,3,1,Matches
Erling Haaland,2025-2026,25,Manchester City,eng ENG,1. Premier League,35,"2,953",27,8,7,431,3,1,10,751,8,0,52,"4,135",38,9,Matches
